TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2021,3,28,1,0,X E PENDER ST,Central Business District,492416.2714,5458647.0925
Mischief,2021,6,30,2,30,X E PENDER ST,Central Business District,492416.2714,5458647.0925
Mischief,2021,9,14,19,10,X E PENDER ST,Central Business District,492416.2714,5458647.0925
Mischief,2021,3,8,23,0,X FALSE CREEK,Fairview,491173.1528,5457478.067
Mischief,2021,7,26,18,30,X FALSE CREEK,Fairview,491173.1528,5457478.067
Mischief,2021,9,21,19,14,X FALSE CREEK,Fairview,491173.1528,5457478.067
Mischief,2021,9,19,15,7,X KINGSWAY AVE,Mount Pleasant,492670.4907,5456861.2704
Mischief,2021,3,11,16,30,X NK_LOC ST,Strathcona,492757.4868,5458792.469
Mischief,2021,3,14,0,0,X NK_LOC ST,Strathcona,492757.4868,5458792.469
Mischief,2021,3,20,13,0,X NK_LOC ST,Strathcona,492757.4868,5458792.469
Mischief,2021,3,24,8,0,X NK_LOC ST,Strathcona,492757.4868,5458792.469
Mischief,2021,4,1,9,0,X NK_LOC ST,Strathcona,492757.4868,5458792.469
Mischief,2021,4,8,12,0,X NK_LOC ST,Strathcona,492757.4868,5458792.469
Mischief,2021,4,30,15,45,X NK_LOC ST,Strathcona,492757.4868,5458792.469
Mischief,2021,5,1,12,0,X NK_LOC ST,Strathcona,492757.4868,5458792.469
Mischief,2021,5,13,22,0,X NK_LOC ST,Strathcona,492757.4868,5458792.469
Mischief,2021,6,2,16,0,X NK_LOC ST,Strathcona,492757.4868,5458792.469
Mischief,2021,6,5,1,0,X NK_LOC ST,Strathcona,492757.4868,5458792.469
Mischief,2021,6,28,9,0,X NK_LOC ST,Strathcona,492757.4868,5458792.469
Mischief,2021,6,28,23,0,X NK_LOC ST,Strathcona,492757.4868,5458792.469
Mischief,2021,7,13,12,30,X NK_LOC ST,Strathcona,492757.4868,5458792.469
Mischief,2021,7,18,18,10,X NK_LOC ST,Strathcona,492757.4868,5458792.469
Mischief,2021,3,18,12,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032
Mischief,2021,6,23,10,20,X NK_LOC ST,Strathcona,492765.9374,5458793.3032
Mischief,2021,6,26,0,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032
Mischief,2021,7,21,18,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032
Mischief,2021,7,29,17,38,X NK_LOC ST,Strathcona,492765.9374,5458793.3032
Mischief,2021,8,7,17,0,X NK_LOC ST,Strathcona,492765.9374,5458793.3032
