ID;SUBSYSTEM;CODE;COVWATERHYDRANTUNITTYPE;DISTANCEFROMCORNER;FEEDERLEN;DIR;LINE;COLOR;INCOMM;CHR0;CHR1;STREET_NUMBER;STREET;OLDHYDNUM;CASTSUB;OOCDATE;OOCNOTES;INSTDATE1;ORACLEID;ACTIVE;REMARKS;FIREUSEONLY;STATUS;COMPRESSION;ADDDTTM;ADDBY;MODBY;FEATURE_ID;UNITID;Geom;Geo Local Area
WH-I20-017;DSTR;Mueller;CENTURION;128.8;1.2;E-EAST;E-EAST;Blue;Yes;;;SS 3500;W 47TH AV;66D07;COVAV;;;1961-01-01;__FJ8URE;Active;;N;IN_SERVICE;Yes;2009-11-10T02:34:08-07:00;covDBimport;SDE 834766;31598;31598;"{""coordinates"": [-123.1835546578513, 49.229277631299716], ""type"": ""Point""}";Dunbar-Southlands
WH-P08-013;DSTR;Clow;BrigadierM;2.1;4.0;S-SOUTH;S-SOUTH;Blue;Yes;;;;SWC CAMBIE ST & W CORDOVA ST;07B41;COVAV;;;;__FJFK76;Active;;N;IN_SERVICE;Yes;2009-11-10T02:34:00-07:00;covDBimport;RIH83;31601;31601;"{""coordinates"": [-123.10927475035163, 49.28343890740967], ""type"": ""Point""}";Downtown
WH-K13-001;DSTR;Mueller;SupCent250;2.7;1.8;N-NORTH;N-NORTH;Blue;Yes;;;;NWC TRAFALGAR ST & W 11TH AV;29B21;COVAV;;;1970-01-01;__FJ8UBN;Active;;N;IN_SERVICE;Yes;2009-11-10T02:34:47-07:00;covDBimport;MAG3121;31606;31606;"{""coordinates"": [-123.16484969535702, 49.262342762055944], ""type"": ""Point""}";Kitsilano
WH-T08-005;DSTR;TC;TC1;1.5;2.4;S-SOUTH;S-SOUTH;Blue;Yes;;;;SWC VICTORIA DRIVE & PANDORA ST;10B09;COVAV;;;;__FJ8TIM;Active;;N;IN_SERVICE;No;2009-11-10T02:34:48-07:00;covDBimport;SDE 834766;31609;31609;"{""coordinates"": [-123.06568740465059, 49.282927931679595], ""type"": ""Point""}";Grandview-Woodland
WH-R17-012;DSTR;TC;TC1;3.7;1.2;W-WEST;W-WEST;Yellow;Yes;;;;SWC RINGWOOD AV & WINDSOR ST;51c14;COVAV;2013-09-13;Top stem broken just spinning HCV closed not locked;;__FJ8VMF;Active;;N;IN_SERVICE;No;2009-11-10T02:34:00-07:00;covDBimport;SDE 834766;31610;31610;"{""coordinates"": [-123.08417779624565, 49.24385804838449], ""type"": ""Point""}";Kensington-Cedar Cottage
WH-J22-006;DSTR;TC;C71P;2.7;0.9;S-SOUTH;S-SOUTH;Blue;Yes;;;;NWC MACDONALD ST & W 55TH AV;69D11;COVAV;;;1995-01-01;__FJ8WST;Active;;N;IN_SERVICE;Yes;2009-11-10T02:34:00-07:00;covDBimport;SDE 834766;31612;31612;"{""coordinates"": [-123.16846101743137, 49.22147264820231], ""type"": ""Point""}";Kerrisdale
WH-I22-001;DSTR;Mueller;CENTURION;1.5;2.4;W-WEST;W-WEST;Blue;Yes;;;;NEC CARRINGTON ST & W 55TH AV;69B08;COVAV;;;1990-01-01;__FJ8WRW;Active;;N;IN_SERVICE;Yes;2009-11-10T02:34:49-07:00;covDBimport;SDE 834766;31619;31619;"{""coordinates"": [-123.18262567672623, 49.22168823815749], ""type"": ""Point""}";Dunbar-Southlands
WH-L17-019;DSTR;Mueller;CENTURION;114.9;8.2;E-EAST;E-EAST;Blue;Yes;;;SS 2038;QUILCHENA CRESCENT;63C28;;;;1926-01-01;__FJ8TZH;Active;;N;IN_SERVICE;Yes;2009-11-10T02:32:43-07:00;covDBimport;ENYAMW;31621;31621;"{""coordinates"": [-123.1529065211163, 49.241230287605184], ""type"": ""Point""}";Arbutus-Ridge
WH-S14-030;DSTR;TC;TC1;2.1;3.7;S-SOUTH;S-SOUTH;Green;Yes;;;;SWC COMMERCIAL DRIVE & E 13TH AV;40A05;COVAV;;;;__FJE6CZ;Active;;N;IN_SERVICE;No;2009-11-10T02:32:43-07:00;covDBimport;SDE 834766;31622;31622;"{""coordinates"": [-123.0699618377984, 49.258538769433954], ""type"": ""Point""}";Kensington-Cedar Cottage
WH-L21-009;DSTR;TC;TC1;1.2;0.5;S-SOUTH;S-SOUTH;Blue;Yes;;;;SEC ANGUS DRIVE & W 52ND AV;71B01;COVAV;;;1979-01-01;__FJ8X27;Active;;N;IN_SERVICE;No;2009-11-10T02:32:43-07:00;covDBimport;SDE 834766;31623;31623;"{""coordinates"": [-123.14791941826817, 49.22407849977447], ""type"": ""Point""}";Kerrisdale
