ADDRESS;SCHOOL_CATEGORY;SCHOOL_NAME;Geom;Geo Local Area
4444 Dumfries St;Public School;Lord Selkirk Annex;"{""coordinates"": [-123.07246012, 49.24532077406758], ""type"": ""Point""}";Kensington-Cedar Cottage
2678 W Broadway;Independent School;Madrona School;"{""coordinates"": [-123.16601055529476, 49.263528260800655], ""type"": ""Point""}";Kitsilano
2300 Guelph St;StrongStart BC;Mount Pleasant StrongStart Centre;"{""coordinates"": [-123.09399954, 49.26396573206767], ""type"": ""Point""}";Mount Pleasant
2550 Camosun St;Independent School;Our Lady of Perpetual Help;"{""coordinates"": [-123.19617943097614, 49.264135070670505], ""type"": ""Point""}";West Point Grey
1819 Larch St;Independent School;Pacific Rim Montessori Academy;"{""coordinates"": [-123.16244364510744, 49.269785798267485], ""type"": ""Point""}";Kitsilano
1580 W Broadway;Public School;Peak House;"{""coordinates"": [-123.14026052001878, 49.26329988232251], ""type"": ""Point""}";Fairview
4102 W 16th Av;Public School;Queen Elizabeth Elementary;"{""coordinates"": [-123.20112784000001, 49.257791772067634], ""type"": ""Point""}";Dunbar-Southlands
1850 E 3rd Av;Public School;Queen Victoria Annex;"{""coordinates"": [-123.06634874, 49.267187849067696], ""type"": ""Point""}";Grandview-Woodland
3315 E 22nd Av;Public School;Renfrew Community Elementary;"{""coordinates"": [-123.03205805, 49.25145777406758], ""type"": ""Point""}";Renfrew-Collingwood
4250 Marguerite St;Public School;Shaughnessy Elementary;"{""coordinates"": [-123.14380998000001, 49.24867607506759], ""type"": ""Point""}";Shaughnessy
960 E 39th Av;Public School;Sir Alexander Mackenzie Elementary;"{""coordinates"": [-123.08671432, 49.23453643506752], ""type"": ""Point""}";Kensington-Cedar Cottage
419 E 24th Av;Public School;Sir Charles Tupper Secondary;"{""coordinates"": [-123.09480947999998, 49.249753501067595], ""type"": ""Point""}";Riley Park
3250 Kingsway;Public School;Sir Guy Carleton Community Elementary;"{""coordinates"": [-123.03760798, 49.234347746067506], ""type"": ""Point""}";Renfrew-Collingwood
1300 E 29th Av;Public School;Sir Richard McBride Elementary;"{""coordinates"": [-123.07817551, 49.244156609067566], ""type"": ""Point""}";Kensington-Cedar Cottage
1950 E Hastings St;Public School;Sir William Macdonald Community;"{""coordinates"": [-123.06467911, 49.280723909067746], ""type"": ""Point""}";Grandview-Woodland
7055 Heather St;Public School;Sir Winston Churchill Secondary;"{""coordinates"": [-123.12561546, 49.22105956806746], ""type"": ""Point""}";Oakridge
5855 Ontario St;Public School;Sir Wm Van Horne Elementary;"{""coordinates"": [-123.10656921, 49.23156648606752], ""type"": ""Point""}";Oakridge
1370 W 73rd Av;Independent School;St Anthony of Padua;"{""coordinates"": [-123.13700792036838, 49.20446493818909], ""type"": ""Point""}";Marpole
2215 W 10th Av;Independent School;St John's School;"{""coordinates"": [-123.1561791428068, 49.26317767149081], ""type"": ""Point""}";Kitsilano
5239 Joyce St;Independent School;St Mary's;"{""coordinates"": [-123.03370590892874, 49.237501631148845], ""type"": ""Point""}";Renfrew-Collingwood
115 E 11th Av;Independent School;St Patrick Regional Secondary;"{""coordinates"": [-123.10260439171995, 49.261404544549904], ""type"": ""Point""}";Mount Pleasant
2850 Quebec St;Independent School;St Patrick's Elementary;"{""coordinates"": [-123.1024366967439, 49.259762302830595], ""type"": ""Point""}";Mount Pleasant
3155 E 27th Av;Public School;Sunny Hill Hospital Program;"{""coordinates"": [-123.0371743, 49.246512456067585], ""type"": ""Point""}";Renfrew-Collingwood
2325 Cassiar St;Public School;Thunderbird Elementary;"{""coordinates"": [-123.03187058558184, 49.263648890401456], ""type"": ""Point""}";Hastings-Sunrise
3525 Dumphries St;Public School;Tyee Elementary;"{""coordinates"": [-123.07382164, 49.25356935406761], ""type"": ""Point""}";Kensington-Cedar Cottage
