ADDRESS;SCHOOL_CATEGORY;SCHOOL_NAME;Geom;Geo Local Area
3000 Commercial Drive;Independent School;Stratford Hall;"{""coordinates"": [-123.06946327228026, 49.257469215545306], ""type"": ""Point""}";Kensington-Cedar Cottage
1551 E 37th Av;Public School;Tecumseh Annex;"{""coordinates"": [-123.07309884, 49.23711627206752], ""type"": ""Point""}";Kensington-Cedar Cottage
1850 E 41st Av;Public School;Tecumseh Elementary;"{""coordinates"": [-123.06800394, 49.2320557420675], ""type"": ""Point""}";Victoria-Fraserview
788 Beatty St;Independent School;The Westside School;"{""coordinates"": [-123.11344354347607, 49.27757064431133], ""type"": ""Point""}";Downtown
2325 Cassiar St;StrongStart BC;Thunderbird StrongStart Centre;"{""coordinates"": [-123.03187058558184, 49.263648890401456], ""type"": ""Point""}";Hastings-Sunrise
2450 Cambridge St;StrongStart BC;Tillicum Annex StrongStart Centre;"{""coordinates"": [-123.05559853, 49.28626345506777], ""type"": ""Point""}";Hastings-Sunrise
2450 Cambridge St;Public School;Tillicum Community Annex;"{""coordinates"": [-123.05559853, 49.28626345506777], ""type"": ""Point""}";Hastings-Sunrise
4170 Trafalgar St;Public School;Trafalgar Elementary;"{""coordinates"": [-123.16460607, 49.250178756067605], ""type"": ""Point""}";Arbutus-Ridge
1580 W Broadway;Public School;Vancouver Alternate;"{""coordinates"": [-123.14026052001878, 49.26329988232251], ""type"": ""Point""}";Fairview
530 E 41st Av;Public School;Vancouver Learning Network;"{""coordinates"": [-123.09279776, 49.23195715006752], ""type"": ""Point""}";Sunset
998 W 26th Av;Independent School;Vancouver Talmud Torah Elementary;"{""coordinates"": [-123.12682202118758, 49.2475796718668], ""type"": ""Point""}";South Cambie
15 N Renfrew St;Independent School;West Coast Christian School;"{""coordinates"": [-123.04453612333309, 49.284984466234356], ""type"": ""Point""}";Hastings-Sunrise
4125 W 8th Av;Independent School;West Point Grey Academy;"{""coordinates"": [-123.20150739365414, 49.26706634514379], ""type"": ""Point""}";West Point Grey
